id,sequence_id,step_order,reviewer_id,step_name,instructions,status,review_id,assigned_at,completed_at
1,1,0,2,Expert Technical Review,Focus on technical accuracy and completeness,active,21,2025-08-17 23:09:07.527907,
2,1,1,3,Editorial Review,Focus on clarity and readability after technical improvements,pending,,,
3,2,0,6,,Test.,active,22,2025-08-17 23:43:08.479345,
4,2,1,5,,,pending,,,
5,2,2,4,,Test,pending,,,
6,3,0,6,,,active,23,2025-08-17 23:51:51.140759,
7,3,1,5,,,pending,,,
8,3,2,4,,,pending,,,
9,4,0,1,Initial Review,,active,24,2025-08-17 23:59:48.945317,
10,5,0,2,Initial Review,,active,25,2025-08-18 00:01:33.656537,
11,6,0,2,Initial Review,,active,26,2025-08-18 00:03:47.588325,
12,7,0,6,,,active,27,2025-08-18 13:20:52.571491,
13,7,1,5,,,pending,,,
14,7,2,4,,,pending,,,
