id,topic_id,requested_by,reviewer_id,status,priority,requested_at,due_date,started_at,completed_at,feedback,recommendation,review_notes,author_message,edited_content,follow_up_sent_at,sequence_id,sequence_position
1,1,1,2,completed,high,2025-08-16 21:16:19,2025-08-21 21:16:19.582882,2025-08-16 21:16:19.598344,2025-08-16 21:16:19.604025,This introduction is well-written and comprehensive. The content is technically accurate. I recommend approval with minor formatting improvements.,approve_with_changes,Consider adding more visual elements to break up the text. Overall excellent work!,Please review this introduction topic for technical accuracy and clarity.,,,,
2,2,1,3,pending,urgent,2025-08-16 21:16:19,2025-08-18 21:16:19.615279,,,,,,Urgent review needed for this content before publication deadline.,,,,
3,5,1,6,pending,medium,2025-08-17 16:25:31,2025-08-24 00:00:00.000000,,,,,,Test,,,,
4,5,1,1,pending,medium,2025-08-17 16:25:31,2025-08-24 00:00:00.000000,,,,,,Test,,,,
5,6,1,6,pending,medium,2025-08-17 16:28:22,2025-08-24 00:00:00.000000,,,,,,Please review test.,,,,
9,7,1,6,pending,medium,2025-08-17 16:39:40,2025-08-24 00:00:00.000000,,,,,,Testing email notification of review request.,,,,
12,2,1,6,pending,high,2025-08-17 16:46:37,2025-08-24 00:00:00.000000,,,,,,Final test of email system with enhanced logging.,,,,
13,3,1,6,pending,high,2025-08-17 16:50:00,2025-08-25 00:00:00.000000,,,,,,Complete test of email system with token generation - joe@ryan-family.us,,2025-08-17 20:57:54.836400,,
14,4,1,6,pending,medium,2025-08-17 16:51:40,2025-08-26 00:00:00.000000,,,,,,Hi J Test! This is a comprehensive test of our email notification system. Please review this document for accuracy and completeness. Your feedback is valuable for improving our content quality.,,,,
18,1,1,6,pending,high,2025-08-17 19:35:32,2025-08-24 19:35:32.008044,,,,,,🎉 WYSIWYG Editor is ready! Click Edit Content tab to try direct editing with change tracking.,,2025-08-17 21:08:08.086556,,
19,1,1,6,completed,high,2025-08-17 19:50:37,2025-08-24 19:50:37.961125,,2025-08-17 20:06:53.072005,Thanks for the chance to review.,approve_with_changes,,🎨 Fresh WYSIWYG Review Portal - Testing organizational colors and UI improvements! Try both Read Only and Edit Content tabs.,,,,
20,8,1,6,completed,medium,2025-08-17 21:34:14,2025-08-24 21:34:14.798129,,2025-08-17 21:36:56.423161,Testing to see what happens if a reviewer rejects a topic they review because they believe it requires extensive work.,reject,,Please review this topic about Census Bureau Headquarters. Feel free to suggest significant changes to improve the content structure and clarity. This is a test of the review workflow with substantial feedback.,,,,
21,2,1,2,pending,high,2025-08-17 23:09:07,2025-08-22 23:09:07.526156,,,,,,Please review this topic for technical accuracy and clarity. This is part of a sequential review process.,,,1,0
22,10,1,6,pending,medium,2025-08-17 23:43:08,2025-08-22 23:43:08.478756,,,,,,"Please review ""Special Census Office (SCO)"" for technical accuracy and clarity.",,,2,0
23,14,1,6,pending,medium,2025-08-17 23:51:51,2025-08-22 23:51:51.139494,,,,,,"Please review ""Special Census Field Supervisor (FS)"" for technical accuracy and clarity.",,,3,0
24,1,1,1,pending,medium,2025-08-17 23:59:48,2025-08-22 23:59:48.943504,,,,,,,,,4,0
25,3,1,2,pending,medium,2025-08-18 00:01:33,2025-08-23 00:01:33.655341,,,,,,Please review this topic,,,5,0
26,5,1,2,pending,medium,2025-08-18 00:03:47,2025-08-23 00:03:47.586000,,,,,,Please review this topic,,,6,0
27,11,1,6,pending,medium,2025-08-18 13:20:52,2025-08-23 13:20:52.569068,,,,,,"Please review ""Special Census Supervisor"" for technical accuracy and clarity.",,,7,0
